TR10044-6,17-Ketosteroids,17-Ketosteroids,100000.243.900,Chemistry
TR10045-3,Apolipoprotein A I,Apolipoprotein A I,100000.312.000,Chemistry
TR10046-1,Apolipoprotein B,Apolipoprotein B,100000.313.000,Chemistry
TR10047-9,Apolipoprotein C III,Apolipoprotein C III,,Chemistry
TR10048-7,Apolipoprotein E,Apolipoprotein E,,Chemistry
TR10049-5,Arsenic,Arsenic,100000.371.000,Chemistry
TR10050-3,Ascorbate,Ascorbate,100000.218.900,Chemistry
TR10051-1,Aspartate Aminotransferase,Aspartate Aminotransferase,100000.167.000,Chemistry
TR10052-9,Barbiturates Fractionation,Barbiturates Fractionation,,Chemistry
TR10053-7,Barbiturates Screen,Barbiturates Screen,100000.504.000,Chemistry
TR10054-5,Barium,Barium,,Chemistry
TR10055-2,17-Ketosteroids Fractionated,17-Ketosteroids Fractionated,,Chemistry
TR10056-0,Benzodiazepine Screen,Benzodiazepine Screen,100000.505.000,Chemistry
TR10057-8,Benztropine,Benztropine,,Chemistry
TR10058-6,Beryllium,Beryllium,,Chemistry
TR10059-4,Beta Transferrin,Beta Transferrin,,Chemistry
TR10060-2,Beta 2-Microglobulin,Beta 2-Microglobulin,100000.294.000,Chemistry
TR10061-0,Beta Hydroxybutyrate,Beta Hydroxybutyrate,100000.537.000,Chemistry
TR10062-8,Beta n-Acetylhexosaminidase,Beta n-Acetylhexosaminidase,100000.476.000,Chemistry
TR10063-6,Bile Acid,Bile Acid,100000.224.000,Chemistry
TR10064-4,Bile Microscopy,Bile Microscopy,,Chemistry
TR10065-1,Bilirubin,Bilirubin,100000.170.000,Chemistry
TR10066-9,5-fluorocytosine,5-fluorocytosine,,Chemistry
TR10067-7,Bilirubin Glucuronidated,Bilirubin Glucuronidated,100000.171.000,Chemistry
TR10068-5,Bilirubin Non-Glucuronidated,Bilirubin Non-Glucuronidated,100000.172.000,Chemistry
TR10069-3,Bismuth,Bismuth,,Chemistry
TR10070-1,Volume,Volume,100000.051.000,Chemistry
TR10071-9,Boron,Boron,,Chemistry
TR10072-7,Bromide,Bromide,100000.155.000,Chemistry
TR10073-5,Bromosulphthalein,Bromosulphthalein,,Chemistry
TR10074-3,Bupivacaine,Bupivacaine,,Chemistry
TR10075-0,Busulfan,Busulfan,,Chemistry
TR10076-8,Butabarbital,Butabarbital,,Chemistry
TR10077-6,Butalbital,Butalbital,,Chemistry
TR10078-4,5-Hydroxyindoleacetate,5-Hydroxyindoleacetate,100000.261.000,Chemistry
TR10079-2,C Peptide,C Peptide,100000.104.000,Chemistry
TR10080-0,Cadmium,Cadmium,100000.374.000,Chemistry
TR10081-8,Caffeine,Caffeine,,Chemistry
TR10082-6,Calcidiol,Calcidiol,100000.212.000,Chemistry
TR10083-4,Calcitonin,Calcitonin,100000.155.500,Chemistry
TR10084-2,Calcitriol,Calcitriol,100000.213.000,Chemistry
TR10085-9,Calcium,Calcium,100000.155.100,Chemistry
TR10086-7,Calcium Ionized,Calcium Ionized,100000.155.300,Chemistry
TR10087-5,Calculus Analysis,Calculus Analysis,100000.184.200,Chemistry
TR10088-3,Cancer Antigen 125,Cancer Antigen 125,100000.295.100,Chemistry
TR10089-1,5-Hydroxyindoleacetate Screen,5-Hydroxyindoleacetate Screen,100000.262.000,Chemistry
TR10090-9,Cancer Antigen 15-3,Cancer Antigen 15-3,100000.295.000,Chemistry
TR10091-7,Cancer Antigen 19-5,Cancer Antigen 19-5,,Chemistry
TR10092-5,Cancer Antigen 19-9,Cancer Antigen 19-9,100000.295.200,Chemistry
TR10093-3,Cancer Antigen 242,Cancer Antigen 242,,Chemistry
TR10094-1,Cancer Antigen 27-29,Cancer Antigen 27-29,,Chemistry
TR10095-8,Cancer Antigen 50,Cancer Antigen 50,,Chemistry
TR10096-6,Cancer Antigen 549,Cancer Antigen 549,,Chemistry
TR10097-4,Cancer Antigen 72-4,Cancer Antigen 72-4,,Chemistry
TR10098-2,Cancer Antigen DM/70K,Cancer Antigen DM/70K,,Chemistry
TR10099-0,Cannabinoids Screen,Cannabinoids Screen,100000.506.000,Chemistry
TR10100-6,5-Nucleotidase,5-Nucleotidase,100000.227.000,Chemistry
TR10101-4,Carbamazepine,Carbamazepine,100000.507.000,Chemistry
TR10102-2,Carbamazepine Epoxide,Carbamazepine Epoxide,,Chemistry
TR10103-0,Carbon Dioxide,Carbon Dioxide,100000.148.200,Chemistry
TR10104-8,Carboxyhemoglobin,Carboxyhemoglobin,100000.148.300,Chemistry
TR10105-5,Carcinoembryonic Antigen,Carcinoembryonic Antigen,100000.290.000,Chemistry
TR10106-3,Carnitine,Carnitine,100000.315.000,Chemistry
TR10107-1,Carotene,Carotene,100000.211.000,Chemistry
TR10108-9,Catecholamines,Catecholamines,100000.370.000,Chemistry
TR10109-7,Catecholamines Fractionation,Catecholamines Fractionation,100000.365.000,Chemistry
TR10110-5,Arylsulfatase A,Arylsulfatase A,100000.477.000,Chemistry
TR10111-3,7-Dehydrocholesterol,7-Dehydrocholesterol,100000.214.000,Chemistry
TR10112-1,Ceruloplasmin,Ceruloplasmin,100000.386.900,Chemistry
TR10113-9,Chloral Hydrate,Chloral Hydrate,,Chemistry
TR10114-7,Chloramphenicol,Chloramphenicol,,Chemistry
TR10115-4,Chlordiazepoxide,Chlordiazepoxide,,Chemistry
TR10116-2,Chloride,Chloride,100000.153.000,Chemistry
TR10117-0,Chloroquine,Chloroquine,,Chemistry
TR10118-8,Chlorpromazine,Chlorpromazine,,Chemistry
TR10119-6,Chlorpropamide,Chlorpropamide,,Chemistry
TR10120-4,Cholesterol,Cholesterol,100000.302.000,Chemistry
TR10121-2,Cholesterol Esters,Cholesterol Esters,,Chemistry
TR10122-0,Acetaminophen,Acetaminophen,100000.501.000,Chemistry
TR10123-8,Cholinesterase,Cholinesterase,100000.282.000,Chemistry
TR10124-6,Cholinesterase Phenotype,Cholinesterase Phenotype,100000.283.000,Chemistry
TR10125-3,Choriomammotropin,Choriomammotropin,,Chemistry
TR10126-1,Choriogonadotropin,Choriogonadotropin,100000.245.000,Chemistry
TR10127-9,Choriogonadotropin Screen,Choriogonadotropin Screen,100000.245.200,Chemistry
TR10128-7,Chromium,Chromium,100000.383.000,Chemistry
TR10129-5,Chymotrypsin,Chymotrypsin,,Chemistry
TR10130-3,Cimetidine,Cimetidine,,Chemistry
TR10131-1,Citrate,Citrate,100000.184.500,Chemistry
TR10132-9,Clobazam,Clobazam,100000.508.000,Chemistry
TR10133-7,Clomipramine,Clomipramine,100000.555.000,Chemistry
TR10134-5,Clonazepam,Clonazepam,100000.509.000,Chemistry
TR10135-2,Clorazepate,Clorazepate,,Chemistry
TR10136-0,Clozapine,Clozapine,100000.556.000,Chemistry
TR10137-8,Acetone,Acetone,100000.535.000,Chemistry
TR10138-6,Cobalamins,Cobalamins,100000.217.000,Chemistry
TR10139-4,Acetone Screen,Acetone Screen,100000.536.000,Chemistry
TR10140-2,Cobalt,Cobalt,,Chemistry
TR10141-0,Copper,Copper,100000.386.000,Chemistry
TR10142-8,Cortisol Morning,Cortisol Morning,100000.242.200,Chemistry
TR10143-6,Cortisol Evening,Cortisol Evening,100000.242.300,Chemistry
TR10144-4,Cotinine,Cotinine,,Chemistry
TR10145-1,Creatine,Creatine,,Chemistry
TR10146-9,Creatine Kinase,Creatine Kinase,100000.319.000,Chemistry
TR10147-7,Creatine Kinase Fractionation,Creatine Kinase Fractionation,100000.320.000,Chemistry
TR10148-5,Creatine Kinase MB,Creatine Kinase MB,100000.321.000,Chemistry
TR10149-3,Creatinine,Creatinine,100000.179.000,Chemistry
TR10150-1,Creatinine Clearance,Creatinine Clearance,100000.179.100,Chemistry
TR10151-9,Cyclobenzaprine,Cyclobenzaprine,,Chemistry
TR10152-7,Cyclosporine,Cyclosporine,100000.557.000,Chemistry
TR10153-5,Cystatin C,Cystatin C,,Chemistry
TR10154-3,Cystine,Cystine,,Chemistry
TR10155-0,Cystine Screen,Cystine Screen,,Chemistry
TR10156-8,Dehydroepiandrosterone Sulphate,Dehydroepiandrosterone Sulphate,100000.244.100,Chemistry
TR10157-6,Delta Aminolevulinate,Delta Aminolevulinate,100000.397.900,Chemistry
TR10158-4,Deoxypyridinoline,Deoxypyridinoline,,Chemistry
TR10159-2,Desipramine,Desipramine,100000.558.000,Chemistry
TR10160-0,Dextromethorphan,Dextromethorphan,,Chemistry
TR10161-8,Diazepam,Diazepam,100000.511.000,Chemistry
TR10162-6,Digoxin,Digoxin,100000.559.000,Chemistry
TR10163-4,Dihydrotestosterone,Dihydrotestosterone,100000.244.200,Chemistry
TR10164-2,Dimenhydrinate,Dimenhydrinate,,Chemistry
TR10165-9,Diphenhydramine,Diphenhydramine,,Chemistry
TR10166-7,Disopyramide,Disopyramide,,Chemistry
TR10167-5,Dopamine,Dopamine,100000.366.000,Chemistry
TR10168-3,Doxepin,Doxepin,100000.560.000,Chemistry
TR10169-1,Drug Screen Broad Spectrum,Drug Screen Broad Spectrum,100000.561.000,Chemistry
TR10170-9,Drugs Of Abuse Screen,Drugs Of Abuse Screen,100000.500.000,Chemistry
TR10171-7,Enolase Neuron Specific,Enolase Neuron Specific,,Chemistry
TR10172-5,Erythropoietin,Erythropoietin,100000.280.000,Chemistry
TR10173-3,Estradiol,Estradiol,100000.243.500,Chemistry
TR10174-1,Estriol,Estriol,100000.245.400,Chemistry
TR10175-8,Estrogen,Estrogen,,Chemistry
TR10176-6,Estrone,Estrone,100000.243.600,Chemistry
TR10177-4,Ethanol,Ethanol,100000.512.000,Chemistry
TR10178-2,Ethchlorvynol,Ethchlorvynol,,Chemistry
TR10179-0,Ethosuximide,Ethosuximide,100000.513.000,Chemistry
TR10180-8,Ethylene Glycol,Ethylene Glycol,100000.531.000,Chemistry
TR10181-6,Fat,Fat,100000.266.000,Chemistry
TR10182-4,Fat Differential,Fat Differential,,Chemistry
TR10183-2,Fat Screen,Fat Screen,100000.267.000,Chemistry
TR10184-0,Fatty Acids Nonesterified,Fatty Acids Nonesterified,100000.308.000,Chemistry
TR10185-7,Fatty Acids Very Long Chain,Fatty Acids Very Long Chain,100000.309.000,Chemistry
TR10186-5,Ferritin,Ferritin,100000.393.000,Chemistry
TR10187-3,Flunitrazepam,Flunitrazepam,,Chemistry
TR10188-1,Fluoride,Fluoride,,Chemistry
TR10189-9,Fluoxetine,Fluoxetine,100000.562.000,Chemistry
TR10190-7,Flurazepam,Flurazepam,,Chemistry
TR10191-5,Fluvoxamine,Fluvoxamine,,Chemistry
TR10192-3,Folate,Folate,100000.218.000,Chemistry
TR10193-1,Follitropin,Follitropin,100000.244.300,Chemistry
TR10194-9,Free Androgen Index,Free Androgen Index,,Chemistry
TR10195-6,Free Erythrocyte Protoporphyrin,Free Erythrocyte Protoporphyrin,100000.396.000,Chemistry
TR10196-4,Fructosamine,Fructosamine,100000.105.000,Chemistry
TR10197-2,Fructose,Fructose,100000.264.000,Chemistry
TR10198-0,Furosemide,Furosemide,,Chemistry
TR10199-8,Gabapentin,Gabapentin,100000.563.000,Chemistry
TR10200-4,Galactose,Galactose,,Chemistry
TR10201-2,Galactose 1-Phosphate Uridyl Transferase,Galactose 1-Phosphate Uridyl Transferase,100000.149.100,Chemistry
TR10202-0,Galactose 1- Phosphate Uridyl Transferase Screen,Galactose 1- Phosphate Uridyl Transferase Screen,100000.149.200,Chemistry
TR10203-8,Gamma Glutamyl Transferase,Gamma Glutamyl Transferase,100000.225.000,Chemistry
TR10204-6,Gamma-Hydroxybutyrate,Gamma-Hydroxybutyrate,,Chemistry
TR10205-3,Gastric Analysis,Gastric Analysis,,Chemistry
TR10206-1,Gastrin,Gastrin,100000.127.100,Chemistry
TR10207-9,Gentamicin Peak,Gentamicin Peak,100000.565.000,Chemistry
TR10208-7,Gentamicin Random,Gentamicin Random,100000.564.000,Chemistry
TR10209-5,Gentamicin Trough,Gentamicin Trough,100000.566.000,Chemistry
TR10210-3,Glibenclamide,Glibenclamide,,Chemistry
TR10211-1,Globulin,Globulin,100000.187.000,Chemistry
TR10212-9,Glucagon,Glucagon,100000.127.000,Chemistry
TR10213-7,Glucose Tolerance Test 2 Hour,Glucose Tolerance Test 2 Hour,100000.111.000,Chemistry
TR10214-5,Glucose Tolerance Test 3 Hour,Glucose Tolerance Test 3 Hour,100000.112.000,Chemistry
TR10215-2,Glucose Tolerance Test 4 Hour,Glucose Tolerance Test 4 Hour,100000.113.000,Chemistry
TR10216-0,Glucose Tolerance Test 5 Hour,Glucose Tolerance Test 5 Hour,100000.114.000,Chemistry
TR10217-8,Glucose Tolerance Test Gestational,Glucose Tolerance Test Gestational,100000.116.000,Chemistry
TR10218-6,Glucose 2 Hour Post Meal,Glucose 2 Hour Post Meal,100000.110.000,Chemistry
TR10219-4,Glucose Fasting,Glucose Fasting,100000.101.000,Chemistry
TR10220-2,Glucose,Glucose,100000.100.000,Chemistry
TR10221-0,Glutathione,Glutathione,,Chemistry
TR10222-8,Glutathione Peroxidase,Glutathione Peroxidase,,Chemistry
TR10223-6,Glyburide,Glyburide,,Chemistry
TR10224-4,Glycoprotein,Glycoprotein,,Chemistry
TR10225-1,Gold,Gold,,Chemistry
TR10226-9,Haloperidol,Haloperidol,100000.568.000,Chemistry
TR10227-7,Haptoglobin,Haptoglobin,100000.281.000,Chemistry
TR10228-5,Hemoglobin A1 C,Hemoglobin A1 C,100000.102.000,Chemistry
TR10229-3,Heroin,Heroin,,Chemistry
TR10230-1,Cholesterol in HDL,Cholesterol in HDL,100000.303.000,Chemistry
TR10231-9,Histamine,Histamine,,Chemistry
TR10232-7,Homocysteine,Homocysteine,100000.219.000,Chemistry
TR10233-5,Homogentisate,Homogentisate,,Chemistry
TR10234-3,Homovanillate,Homovanillate,100000.370.900,Chemistry
TR10235-0,Hydrochlorothiazide,Hydrochlorothiazide,,Chemistry
TR10236-8,Hydroxyproline,Hydroxyproline,100000.446.300,Chemistry
TR10237-6,Hydroxyproline Free,Hydroxyproline Free,100000.446.400,Chemistry
TR10238-4,Ibuprofen,Ibuprofen,,Chemistry
TR10239-2,Imipramine,Imipramine,100000.570.000,Chemistry
TR10240-0,Immunoglobulin A,Immunoglobulin A,100000.200.000,Chemistry
TR10241-8,Immunoglobulin D,Immunoglobulin D,100000.201.000,Chemistry
TR10242-6,Immunoglobulin E,Immunoglobulin E,100000.202.000,Chemistry
TR10243-4,Immunoglobulin G,Immunoglobulin G,100000.203.000,Chemistry
TR10244-2,Immunoglobulin G Subclasses,Immunoglobulin G Subclasses,100000.204.000,Chemistry
TR10245-9,ImmunoglobulinG/Albumin Ratio,ImmunoglobulinG/Albumin Ratio,,Chemistry
TR10246-7,Immunoglobulin M,Immunoglobulin M,100000.208.000,Chemistry
TR10247-5,Immunoglobulin Kappa Light Chains,Immunoglobulin Kappa Light Chains,100000.205.000,Chemistry
TR10248-3,Immunoglobulin Kappa Light Chains Free,Immunoglobulin Kappa Light Chains Free,,Chemistry
TR10249-1,Immunoglobulin Lambda Light Chains,Immunoglobulin Lambda Light Chains,100000.206.000,Chemistry
TR10250-9,Immunoglobulin Lambda Light Chains Free,Immunoglobulin Lambda Light Chains Free,,Chemistry
TR10251-7,Indicans,Indicans,100000.184.950,Chemistry
TR10252-5,Insulin,Insulin,100000.120.000,Chemistry
TR10253-3,Insulin Post Glucose Challenge,Insulin Post Glucose Challenge,100000.121.000,Chemistry
TR10254-1,Insulin-like Growth Factor 1,Insulin-like Growth Factor 1,100000.123.000,Chemistry
TR10255-8,Fat Emulsion,Fat Emulsion,,Chemistry
TR10256-6,Inulin,Inulin,,Chemistry
TR10257-4,Inulin Renal Clearance,Inulin Renal Clearance,,Chemistry
TR10258-2,Iodine Protein Bound,Iodine Protein Bound,,Chemistry
TR10259-0,Iron,Iron,100000.390.000,Chemistry
TR10260-8,Iron Binding Capacity,Iron Binding Capacity,100000.391.000,Chemistry
TR10261-6,Isoniazid,Isoniazid,,Chemistry
TR10262-4,Isopropanol,Isopropanol,100000.528.000,Chemistry
TR10263-2,Ketamine,Ketamine,,Chemistry
TR10264-0,L-Lactate,L-Lactate,100000.160.800,Chemistry
TR10265-7,Lactate Dehydrogenase,Lactate Dehydrogenase,100000.318.000,Chemistry
TR10266-5,Lactate Dehydrogenase Fractionation,Lactate Dehydrogenase Fractionation,100000.317.000,Chemistry
TR10267-3,Lactose Tolerance,Lactose Tolerance,100000.117.100,Chemistry
TR10268-1,Lamotrigine,Lamotrigine,100000.571.000,Chemistry
TR10269-9,Lead,Lead,100000.372.000,Chemistry
TR10270-7,Lethicin/Sphingomyelin Ratio,Lethicin/Sphingomyelin Ratio,,Chemistry
TR10271-5,Leucine Aminopeptidase,Leucine Aminopeptidase,,Chemistry
TR10272-3,Lidocaine,Lidocaine,,Chemistry
TR10273-1,Lipase,Lipase,100000.238.000,Chemistry
TR10274-9,Lipids,Lipids,100000.301.000,Chemistry
TR10275-6,Lipoprotein a,Lipoprotein a,100000.311.000,Chemistry
TR10276-4,Lipoprotein Fractionation,Lipoprotein Fractionation,100000.310.000,Chemistry
TR10277-2,Lipoprotein Lipase,Lipoprotein Lipase,,Chemistry
TR10278-0,Lithium,Lithium,100000.514.000,Chemistry
TR10279-8,Lorazepam,Lorazepam,,Chemistry
TR10280-6,Cholesterol in LDL,Cholesterol in LDL,100000.304.000,Chemistry
TR10281-4,Loxapine,Loxapine,,Chemistry
TR10282-2,Lutropin,Lutropin,100000.244.400,Chemistry
TR10283-0,Magnesium,Magnesium,100000.156.000,Chemistry
TR10284-8,Manganese,Manganese,100000.384.000,Chemistry
TR10285-5,Maprotiline,Maprotiline,,Chemistry
TR10286-3,Maternal Screen,Maternal Screen,100000.245.600,Chemistry
TR10287-1,Melanin,Melanin,,Chemistry
TR10288-9,Meperidine,Meperidine,,Chemistry
TR10289-7,Meprobamate,Meprobamate,,Chemistry
TR10290-5,Mercury,Mercury,100000.373.000,Chemistry
TR10291-3,Metabolic Screen,Metabolic Screen,100000.149.000,Chemistry
TR10292-1,Metanephrines,Metanephrines,100000.367.000,Chemistry
TR10293-9,Metanephrines Fractionated,Metanephrines Fractionated,100000.368.000,Chemistry
TR10294-7,Methadone,Methadone,100000.515.000,Chemistry
TR10295-4,Methadone Metabolite,Methadone Metabolite,100000.516.000,Chemistry
TR10296-2,Methanol,Methanol,100000.529.000,Chemistry
TR10297-0,Methaqualone,Methaqualone,100000.517.000,Chemistry
TR10298-8,Methemalbumin,Methemalbumin,,Chemistry
TR10299-6,Methemoglobin,Methemoglobin,100000.148.500,Chemistry
TR10300-2,Methotrexate,Methotrexate,100000.572.000,Chemistry
TR10301-0,Methotrimeprazine,Methotrimeprazine,,Chemistry
TR10302-8,Methsuximide,Methsuximide,,Chemistry
TR10303-6,Methylenedioxy Amphetamine,Methylenedioxy Amphetamine,,Chemistry
TR10304-4,Methylenedioxy Methamphetamine,Methylenedioxy Methamphetamine,100000.518.000,Chemistry
TR10305-1,Methylmalonate,Methylmalonate,,Chemistry
TR10306-9,Methylphenidate,Methylphenidate,,Chemistry
TR10307-7,Methyprylon,Methyprylon,,Chemistry
TR10308-5,Mexiletine,Mexiletine,,Chemistry
TR10309-3,Molybdenum,Molybdenum,,Chemistry
TR10310-1,Mucopolysaccharides,Mucopolysaccharides,,Chemistry
TR10311-9,Mycophenolate,Mycophenolate,,Chemistry
TR10312-7,Myoglobin,Myoglobin,100000.322.000,Chemistry
TR10313-5,N-Acetylprocainamide,N-Acetylprocainamide,,Chemistry
TR10314-3,Thyrotropin Neonatal,Thyrotropin Neonatal,,Chemistry
TR10315-0,Phenylalanine Neonatal,Phenylalanine Neonatal,,Chemistry
TR10316-8,Newborn Screen,Newborn Screen,100000.245.550,Chemistry
TR10317-6,Nickel,Nickel,100000.382.000,Chemistry
TR10318-4,Nicotine,Nicotine,,Chemistry
TR10319-2,Nitrazepam,Nitrazepam,,Chemistry
TR10320-0,Nitrogen,Nitrogen,,Chemistry
TR10321-8,Nortriptyline,Nortriptyline,100000.519.000,Chemistry
TR10322-6,Occult Blood,Occult Blood,100000.269.000,Chemistry
TR10323-4,Olanzapine,Olanzapine,,Chemistry
TR10324-2,Oligosaccharides,Oligosaccharides,,Chemistry
TR10325-9,Opiate Screen,Opiate Screen,100000.520.000,Chemistry
TR10326-7,Organic Acids,Organic Acids,100000.184.400,Chemistry
TR10327-5,Ornithine Carbamoyl Transferase,Ornithine Carbamoyl Transferase,,Chemistry
TR10328-3,Orotate,Orotate,,Chemistry
TR10329-1,Osmolality,Osmolality,100000.183.000,Chemistry
TR10330-9,Osteocalcin,Osteocalcin,,Chemistry
TR10331-7,Oxalate,Oxalate,100000.184.600,Chemistry
TR10332-5,Oxazepam,Oxazepam,,Chemistry
TR10333-3,Oxycodone,Oxycodone,100000.521.000,Chemistry
TR10334-1,Paraminohippurate Renal Clearance,Paraminohippurate Renal Clearance,,Chemistry
TR10335-8,Palladium,Palladium,,Chemistry
TR10336-6,Parathyrin,Parathyrin,100000.165.800,Chemistry
TR10337-4,Paroxetine,Paroxetine,,Chemistry
TR10338-2,Pentobarbital,Pentobarbital,,Chemistry
TR10339-0,Phencyclidine Screen,Phencyclidine Screen,100000.522.000,Chemistry
TR10340-8,Phenobarbital,Phenobarbital,100000.523.000,Chemistry
TR10341-6,Phenosulphophthalein,Phenosulphophthalein,,Chemistry
TR10342-4,Phenothiazines,Phenothiazines,,Chemistry
TR10343-2,Phenothiazines Screen,Phenothiazines Screen,,Chemistry
TR10344-0,Phenylalanine,Phenylalanine,100000.245.950,Chemistry
TR10345-7,Phenylpropanolamine,Phenylpropanolamine,,Chemistry
TR10346-5,Phenytoin,Phenytoin,100000.524.000,Chemistry
TR10347-3,Phenytoin Free,Phenytoin Free,,Chemistry
TR10348-1,Phosphate,Phosphate,100000.159.000,Chemistry
TR10349-9,Phospholipids,Phospholipids,,Chemistry
TR10350-7,Phytanate,Phytanate,,Chemistry
TR10351-5,Plasma Clearing Factor,Plasma Clearing Factor,,Chemistry
TR10352-3,Platinum,Platinum,,Chemistry
TR10353-1,Porphobilinogen,Porphobilinogen,100000.399.000,Chemistry
TR10354-9,Porphobilinogen Screen,Porphobilinogen Screen,100000.400.000,Chemistry
TR10355-6,Porphobilinogen Deaminase,Porphobilinogen Deaminase,,Chemistry
TR10356-4,Porphobilinogen Synthase,Porphobilinogen Synthase,,Chemistry
TR10357-2,Porphyrins,Porphyrins,100000.395.000,Chemistry
TR10358-0,Porphyrins Screen,Porphyrins Screen,100000.398.000,Chemistry
TR10359-8,Potassium,Potassium,100000.152.000,Chemistry
TR10360-6,Prealbumin,Prealbumin,100000.188.000,Chemistry
TR10361-4,Pregnanediol,Pregnanediol,,Chemistry
TR10362-2,Primidone,Primidone,100000.525.000,Chemistry
TR10363-0,Procainamide,Procainamide,,Chemistry
TR10364-8,Prochlorperazine,Prochlorperazine,,Chemistry
TR10365-5,Procyclidine,Procyclidine,,Chemistry
TR10366-3,Progesterone,Progesterone,100000.243.700,Chemistry
TR10367-1,Proinsulin,Proinsulin,,Chemistry
TR10368-9,Prolactin,Prolactin,100000.244.600,Chemistry
TR10369-7,Propafenone,Propafenone,,Chemistry
TR10370-5,Propoxyphene,Propoxyphene,100000.526.000,Chemistry
TR10371-3,Propranolol,Propranolol,,Chemistry
TR10372-1,Prostatic Specific Antigen,Prostatic Specific Antigen,100000.291.000,Chemistry
TR10373-9,Prostatic Specific Antigen Free,Prostatic Specific Antigen Free,100000.292.000,Chemistry
TR10374-7,Protein,Protein,100000.185.000,Chemistry
TR10375-4,Protein Analysis Bence Jones Protein,Protein Analysis Bence Jones Protein,100000.192.000,Chemistry
TR10376-2,Gammopathy Typing,Gammopathy Typing,100000.210.000,Chemistry
TR10377-0,Protein Analysis Oligoclonal Banding,Protein Analysis Oligoclonal Banding,100000.194.000,Chemistry
TR10378-8,Protein Fractionation,Protein Fractionation,100000.191.000,Chemistry
TR10379-6,Protriptyline,Protriptyline,,Chemistry
TR10380-4,Pyridoxine,Pyridoxine,100000.215.000,Chemistry
TR10381-2,Pyruvate,Pyruvate,100000.160.900,Chemistry
TR10382-0,Pyruvate Kinase,Pyruvate Kinase,100000.284.000,Chemistry
TR10383-8,Quinidine,Quinidine,100000.573.000,Chemistry
TR10384-6,Quinine,Quinine,,Chemistry
TR10385-3,Reducing Substances,Reducing Substances,100000.270.000,Chemistry
TR10386-1,Renin,Renin,100000.157.000,Chemistry
TR10387-9,Retinol,Retinol,100000.211.900,Chemistry
