10090-9,ST initial amplitude 6 ms.lead V3,ST initial amplitude 6 ms.lead V3,
10091-7,ST initial amplitude 6 ms.lead V4,ST initial amplitude 6 ms.lead V4,
10092-5,ST initial amplitude 6 ms.lead V5,ST initial amplitude 6 ms.lead V5,
10093-3,ST initial amplitude 6 ms.lead V6,ST initial amplitude 6 ms.lead V6,
10094-1,ST slope.lead AVF,ST slope.lead AVF,
10095-8,ST slope.lead AVL,ST slope.lead AVL,
10096-6,ST slope.lead AVR,ST slope.lead AVR,
10097-4,ST slope.lead I,ST slope.lead I,
10098-2,ST slope.lead II,ST slope.lead II,
10099-0,ST slope.lead III,ST slope.lead III,
10100-6,ST slope.lead V1,ST slope.lead V1,
10101-4,ST slope.lead V2,ST slope.lead V2,
10102-2,ST slope.lead V3,ST slope.lead V3,
10103-0,ST slope.lead V4,ST slope.lead V4,
10104-8,ST slope.lead V5,ST slope.lead V5,
10105-5,ST slope.lead V6,ST slope.lead V6,
10106-3,ST wave displacement.end.lead AVF,ST wave displacement.end.lead AVF,
10107-1,ST wave displacement.end.lead AVL,ST wave displacement.end.lead AVL,
10108-9,ST wave displacement.end.lead AVR,ST wave displacement.end.lead AVR,
10109-7,ST wave displacement.end.lead I,ST wave displacement.end.lead I,
10110-5,ST wave displacement.end.lead II,ST wave displacement.end.lead II,
10111-3,ST wave displacement.end.lead III,ST wave displacement.end.lead III,
10112-1,ST wave displacement.end.lead V1,ST wave displacement.end.lead V1,
10113-9,ST wave displacement.end.lead V2,ST wave displacement.end.lead V2,
10114-7,ST wave displacement.end.lead V3,ST wave displacement.end.lead V3,
10115-4,ST wave displacement.end.lead V4,ST wave displacement.end.lead V4,
10116-2,ST wave displacement.end.lead V5,ST wave displacement.end.lead V5,
10117-0,ST wave displacement.end.lead V6,ST wave displacement.end.lead V6,
10118-8,ST wave displacement.mid.lead AVF,ST wave displacement.mid.lead AVF,
10119-6,ST wave displacement.mid.lead AVL,ST wave displacement.mid.lead AVL,
10120-4,ST wave displacement.mid.lead AVR,ST wave displacement.mid.lead AVR,
10121-2,ST wave displacement.mid.lead I,ST wave displacement.mid.lead I,
10122-0,ST wave displacement.mid.lead II,ST wave displacement.mid.lead II,
10123-8,ST wave displacement.mid.lead III,ST wave displacement.mid.lead III,
1012-4,E little w Ab,Anti-Ew,
10124-6,ST wave displacement.mid.lead V1,ST wave displacement.mid.lead V1,
10125-3,ST wave displacement.mid.lead V2,ST wave displacement.mid.lead V2,
10126-1,ST wave displacement.mid.lead V3,ST wave displacement.mid.lead V3,
10127-9,ST wave displacement.mid.lead V4,ST wave displacement.mid.lead V4,
10128-7,ST wave displacement.mid.lead V5,ST wave displacement.mid.lead V5,
10129-5,ST wave displacement.mid.lead V6,ST wave displacement.mid.lead V6,
10130-3,T' wave amplitude.lead AVF,T' wave amplitude.lead AVF,
10131-1,T' wave amplitude.lead AVL,T' wave amplitude.lead AVL,
10132-9,T' wave amplitude.lead AVR,T' wave amplitude.lead AVR,
10133-7,T' wave amplitude.lead I,T' wave amplitude.lead I,
10134-5,T' wave amplitude.lead II,T' wave amplitude.lead II,
10135-2,T' wave amplitude.lead III,T' wave amplitude.lead III,
10136-0,T' wave amplitude.lead V1,T' wave amplitude.lead V1,
10137-8,T' wave amplitude.lead V2,T' wave amplitude.lead V2,
10138-6,T' wave amplitude.lead V3,T' wave amplitude.lead V3,
10139-4,T' wave amplitude.lead V4,T' wave amplitude.lead V4,
10140-2,T' wave amplitude.lead V5,T' wave amplitude.lead V5,
10141-0,T' wave amplitude.lead V6,T' wave amplitude.lead V6,
10142-8,T wave amplitude.lead AVF,T wave amplitude.lead AVF,
10143-6,T wave amplitude.lead AVL,T wave amplitude.lead AVL,
10144-4,T wave amplitude.lead AVR,T wave amplitude.lead AVR,
10145-1,T wave amplitude.lead I,T wave amplitude.lead I,
10146-9,T wave amplitude.lead II,T wave amplitude.lead II,
10147-7,T wave amplitude.lead III,T wave amplitude.lead III,
10148-5,T wave amplitude.lead V1,T wave amplitude.lead V1,
10149-3,T wave amplitude.lead V2,T wave amplitude.lead V2,
10150-1,T wave amplitude.lead V3,T wave amplitude.lead V3,
10151-9,T wave amplitude.lead V4,T wave amplitude.lead V4,
10152-7,T wave amplitude.lead V5,T wave amplitude.lead V5,
10153-5,T wave amplitude.lead V6,T wave amplitude.lead V6,
1015-7,E little w Ag,Ew antigen,
101-6,Cefoperazone,"Cefoperazone, KB",
10160-0,History of medication use,History of medication use,
10162-6,History of pregnancies,History of Pregnancies,
10167-5,History of surgical procedures,History of surgical procedures,700000.211.000
1018-1,E Ab,Anti-E,
10182-4,Travel,History of Travel,
1021-5,E Ag,E Ag,
10219-4,Surgical operation note preoperative Dx,Surgical Operation Note Preoperative Dx,
10226-9,Oxygen content,Oxygen Content; Intravascular Space,
10229-3,Class,Class,
10230-1,Ejection fraction,Ejection fraction,
10231-9,Ejection fraction,Ejection fraction,
10232-7,Oxygen content,Oxygen Content,
10233-5,Oxygen content,Oxygen Content; Left Atrium,
10234-3,Oxygen content,Oxygen Content; Right Atrium,
10235-0,Oxygen content,Oxygen Content; Right Atrium High,
10236-8,Oxygen content,Oxygen Content; Right Atrium Low,
10237-6,Oxygen content,Oxygen Conten; Right Atrium Mid,
10238-4,Oxygen content,Oxygen Content; Left Ventricle,
10239-2,Oxygen content,Oxygen Content; Right Ventricle Outflow Tract,
102-4,Cefoperazone,"Cefoperazone, SBT",
10240-0,Oxygen content,Oxygen Content; Right Ventricle,
10241-8,Oxygen content,Oxygen Content; Coronary Sinus,
10242-6,Oxygen content,Oxygen Content; Ductus Arteriosus,
10243-4,Oxygen content,Oxygen Content; Inferior Vena Cava,
10244-2,Oxygen content,Oxygen Content; Left Pulmonary Artery,
10245-9,Oxygen content,Oxygen Content; Main Pulmonary Artery,
10246-7,Oxygen content,Oxygen Content; Right Pulmonary Artery,
10247-5,Oxygen content,Oxygen Content; Pulmonary Wedge,
10248-3,Oxygen content,Oxygen Content; Superior Vena Cava,
1024-9,F little y super little a Ab,Anti-Fy(a),
1027-2,F little y super little a Ag,Fy sup(a) Ag,
1030-6,F little y super little b Ab,Anti-Fy(b),
103-2,Ceforanide,"Ceforanide, MLC",
10327-5,Eosinophils/100 leukocytes,Eosinophils/100 Leukocytes; Sputum; Manual,
10328-3,Lymphocytes/100 leukocytes,Lymphocytes/100 Leukocytes; CSF; Manual,
10329-1,Monocytes/100 leukocytes,Monocytes/100 Leukocytes; CSF; Manual,
1033-0,F little y super little b Ag,Fy(b) antigen,
10330-9,Monocytes/100 leukocytes,Monocytes/100 Leukocytes; Fluid; Manual,
10331-7,Rh,Rh Group,
10332-5,Cortisol^pre 250 ug corticotropin IM,Cortisol Pre 250 ug Corticotropin [ACTH] IM,
10333-3,Appearance,Appearance; CSF,200000.044.220
10334-1,Cancer Ag 125,Cancer Antigen 125,100000.330.000
10335-8,Color,Colour,100000.338.010
10336-6,Gonadotropin peptide,Gonadotropin Peptide; Urine,
10337-4,Procollagen peptide.type 1,Procollagen Peptide Type 1,
10338-2,Barbiturates,Barbiturates,
10339-0,Fluoxetine+Norfluoxetine,Fluoxetine + Norfluoxetine,
10340-8,Molindone,Molindone,
10341-6,Norpropoxyphene,Norpropoxyphene,
10342-4,Sulfamethoxazole,Sulfamethoxazole,
10343-2,Temazepam,Temazepam,
10344-0,Tranylcypromine,Tranylcypromine,
10345-7,Trihexyphenidyl,Trihexyphenidyl; Urine,
10346-5,Hemoglobin A,Hemoglobin A; Blood,
10347-3,Babesia microti identified,Babesia microti,
1034-8,Fetal cell screen,Fetal Cell Screen,
10348-1,Bordetella parapertussis Ab,Bordetella parapertussis antibody,
10349-9,Brucella sp Ab,Brucella species antibody,
10350-7,Herpes simplex virus Ab.IgM,Herpes simplex virus antibody IgM,
10351-5,HIV 1 RNA,HIV 1 RNA,
10352-3,Bacteria identified,Genital; Aerobic Culture,
10353-1,Bacteria identified,Nose; Aerobic Culture,500000.315.910
10354-9,Bacteria identified,Bacteria identified; Urethra,
10355-6,Microscopic observation,Microscopic Examination,700000.250.123
10357-2,MICROSCOPIC OBSERVATION,Microscopic Examination,700000.250.104
10358-0,Teichoate Ab,Teichoate antibody,
10359-8,Asialoganglioside GM1 Ab.IgM,Asialoganglioside GM1 Ab IgM,
10360-6,DNA single strand Ab.IgG,DNA single strand Ab IgG,
10361-4,DNA single strand Ab.IgM,DNA single strand Ab IgM,
10362-2,Endomysium Ab.IgA,Endomysium Ab IgA,
10363-0,Barbiturates,Barbiturates,100000.827.100
10364-8,Cotinine,Cotinine; Hair,
10365-5,Cotinine,Cotinine,
10366-3,Cotinine,Cotinine; Urine,
10367-1,Ethanol,Ethanol; Gastric Fluid,
10368-9,Lead,Lead; Blood Capillary,
10369-7,Opiates,Opiates; Hair,
10370-5,Phencyclidine,Phencyclidine; Hair,
10371-3,Bite cells,Bite Cells,
10372-1,Blister cells,Blister Cells,
10373-9,Fragments,Fragments,200000.022.730
10374-7,Helmet cells,Helmet Cells,
10375-4,Irregularly contracted cells,Irregularly Contracted Cells,200000.022.600
10376-2,Macrocytes.oval,Macrocytes Oval,200000.018.100
10377-0,Pencil cells,Pencil Cells,200000.022.710
10378-8,Polychromasia,Polychromasia,200000.021.000
10379-6,Erythrocytes.dual population,Erythrocytes Dual Population,200000.016.100
10380-4,Stomatocytes,Stomatocytes,200000.022.500
10381-2,Target cells,Target Cells,200000.022.000
10384-6,"A,B variant NOS Ag",AB Variant antigen,
1038-9,G Ab,Anti-G,
104-0,Ceforanide,"Ceforanide, MIC",
10400-0,I Ag,I antigen,
10404-2,Inject Rh immune globulin,"Rh Immune Globulin, Injected",
10408-3,little i Ag,i antigen,
1041-3,G Ag,G antigen,
10413-3,Rh immune globulin given,Rh Immune Globulin Given,
10425-7,Transfuse Rh immune globulin,Transfuse Rh Immune Globulin,
10429-9,AE 1 Ag,AE 1 antigen,
10430-7,AE 3 Ag,AE 3 antigen,
10431-5,B-cell Ag,B-Cell antigen,
10432-3,CD30 Ag,CD30 antigen,
10433-1,BR-2 Ag,BR-2 antigen,
10434-9,Complement C3 Ag,Complement C3 antigen,
10435-6,C5B-9 Ag,C5B-9 antigen,
10436-4,CD15 Ag,CD15 antigen,
10437-2,CD16 Ag,CD16 antigen,
10438-0,CD20 Ag,CD20 antigen,
10439-8,CD3 Ag,CD3 antigen,
10441-4,CD34 Ag,CD34 antigen,
10442-2,CD56 Ag,CD56 antigen,
10443-0,CD43.T-cell monocyte+Myeloid cell Ag,CD43 T-Cell Monocyte + Myeloid Cell antigen,
10444-8,CD57 Ag,CD57 antigen,
10445-5,CD11C Ag,CD11C antigen,
10446-3,Leukocyte common Ag,Leukocyte Common Antigen,
1044-7,H Ab,Anti-H,
10447-1,M-5 Ag,M-5 antigen,
10448-9,T-cell Ag,T-Cell antigen,
10449-7,Glucose^1H post meal,Glucose 1h Post Meal,
10450-5,Glucose^post 10H CFst,Glucose Post 10h Fasting,
10451-3,Proinsulin^post 12H CFst,Proinsulin 12h Fasting,
10452-1,Xylose^1H post 25 g xylose PO,Xylose 1h Post 25 g Xylose PO,
10453-9,Xylose^1H post dose xylose PO,Xylose 1h Post Dose Xylose PO,
10454-7,Xylose^2H post 25 g xylose PO,Xylose 2h Post 25 g Xylose PO,
10455-4,Xylose^30M post 25 g xylose PO,Xylose 30m Post 25 g Xylose PO,
10456-2,Xylose^post 6H CFst,Xylose Post 6h Fasting,
10457-0,Actin Ag,Actin antigen,
10458-8,Alkaline phosphatase.placental Ag,Alkaline Phosphatase Placental antigen,
10459-6,Alpha-1-fetoprotein Ag,Alpha Fetoprotein Antigen,
10460-4,Lactalbumin alpha Ag,Lactalbumin Alpha antigen,
10461-2,Alpha-1-antichymotrypsin Ag,Alpha-1-Antichymotrypsin antigen,
10462-0,Alpha 1 antitrypsin Ag,Alpha 1 Antitrypsin antigen,
10463-8,Amyloid A component Ag,Amyloid A Component antigen,
10464-6,Amyloid P component Ag,Amyloid P Component antigen,
10465-3,Amyloid.prealbumin Ag,Amyloid Prealbumin antigen,
10466-1,Anion gap 3,Anion Gap 3,100000.184.400
10467-9,Beta-2-microglobulin amyloid Ag,Beta-2-Microglobulin Amyloid antigen,
10468-7,Calcitonin Ag,Calcitonin antigen,
10469-5,Carcinoembryonic Ag,Carcinoembryonic Antigen,
1047-0,H NOS Ab,Anti-H,
10470-3,Choriogonadotropin Ag,Choriogonadotropin antigen,
10471-1,Chromogranin A Ag,Chromogranin A antigen,
10472-9,Chromogranin Ag,Chromogranin antigen,
10473-7,Chymotrypsin Ag,Chymotrypsin antigen,
10474-5,Collagen type 4 Ag,Collagen Type 4 Antigen,
10475-2,Corticotropin Ag,Adrenocorticotropic Hormone [ACTH] antigen,
10476-0,Desmin Ag,Desmin antigen,
10477-8,Enolase.neuron specific Ag,Enolase Neuron Specific antigen,
10478-6,Eosinophil major basic protein Ag,Eosinophil Major Basic Protein antigen,
10479-4,CD227 Ag,CD227 antigen,
10480-2,Estrogen+Progesterone receptor Ag,Estrogen + Progesterone Receptor antigen,
10481-0,Follitropin.alpha subunit Ag,Follicle Stimulating Hormone [FSH] Alpha Subunit antigen,
10482-8,Follitropin.beta subunit Ag,Follicle Stimulating Hormone [FSH] Beta Subunit antigen,
10483-6,Gastrin Ag,Gastrin antigen,
10484-4,Glial fibrillary acidic protein Ag,Glial fibrillary acidic protein antigen,
10485-1,Glucagon Ag,Glucagon antigen,
10486-9,Hemoglobin Ag,Hemoglobin antigen,
10487-7,HMB-45 Ag,HMB-45 antigen,
10488-5,IgA Ag,IgA antigen,
10489-3,IgA.heavy chain Ag,IgA Heavy Chain antigen,
10490-1,IgE Ag,IgE antigen,
10491-9,IgG Ag,IgG antigen,
10492-7,IgG.heavy chain Ag,IgG Heavy Chain antigen,
10493-5,IgM Ag,IgM antigen,
10494-3,IgM.heavy chain Ag,IgM Heavy Chain antigen,
10495-0,Insulin Ag,Insulin antigen,
10496-8,Immunoglobulin light chains.kappa Ag,Light Chains Kappa antigen,
10497-6,Immunoglobulin light chains.kappa amyloid Ag,Light Chains Kappa Amyloid antigen,
10498-4,Keratin Ag,Keratin antigen,
10499-2,Immunoglobulin light chains.lambda Ag,Light Chains Lambda antigen,
10500-7,Immunoglobulin light chains.lambda amyloid Ag,Light Chains Lambda Amyloid antigen,
10501-5,Lutropin,Luteinizing Hormone (LH),100000.284.000
10502-3,Lutropin Ag,Luteinizing Hormone [LH] antigen,
10503-1,Lysozyme Ag,Lysozyme antigen,
1050-4,H NOS Ag,H antigen,
10504-9,Myelin basic protein Ag,Myelin Basic Protein antigen,
10505-6,Myoglobin Ag,Myoglobin antigen,
10506-4,Peanut agglutinin Ag,Peanut antigenglutinin antigen,
10507-2,Prolactin Ag,Prolactin antigen,
10508-0,Prostate specific Ag,Prostate Specific Antigen,
10509-8,Acid phosphatase.prostatic Ag,Acid Phosphatase Prostatic antigen,
10510-6,S-100 Ag,S-100 antigen,
10511-4,Serotonin Ag,Serotonin antigen,
1051-2,Hemolytic disease of newborn screen,Hemolytic Disease of the Newborn,
10512-2,Somatostatin Ag,Somatostatin antigen,
10513-0,Somatotropin Ag,Growth Hormone [GH] antigen,
10514-8,Synaptophysin Ag,Synaptophysin antigen,
10515-5,Thyroglobulin Ag,Thyroglobulin antigen,
10516-3,Thyrotropin Ag,Thyroid Stimulating Hormone [TSH] antigen,
10517-1,Trypsin Ag,Trypsin antigen,
10518-9,Ulex europaeus I lectin Ag,Ulex Europaeus I Lectin antigen,
10519-7,Vimentin Ag,Vimentin antigen,
10520-5,Coagulation factor VI Ag,Factor VI antigen; Tissue,
10521-3,Coagulation factor VIII Ag,Factor VIII antigen; Tissue,
10522-1,Coagulation factor XIII Ag,Factor XIII antigen; Tissue,
10523-9,Fibrinogen Ag,Fibrinogen antigen; Tissue,
10524-7,Microscopic observation,Microscopic Examination,
10525-4,Microscopic observation,Microscopic Examination,700000.250.000
10526-2,Microscopic observation,Microscopic Examination,700000.250.107
10527-0,Microscopic observation,Microscopic Examination,700000.250.120
10528-8,Acetophenazine,Acetophenazine,
10529-6,Amoxapine metabolite,Amoxapine Metabolite,
10530-4,Aprobarbital,Aprobarbital,
10531-2,Bretylium,Bretylium,
10533-8,Propoxyphene+Acetaminophen,Propoxyphene + Acetaminophen,
10534-6,Diazoxide,Diazoxide,
10535-3,Digoxin,Digoxin,
10536-1,Dipyridamole,Dipyridamole,
10539-5,Glipizide,Glipizide,
10540-3,Glyburide,Glyburide,
10541-1,Mepivacaine,Mepivacaine,
10542-9,Metharbital,Metharbital,
10543-7,Methsuximide+Normethsuximide,Methsuximide + Normethsuximide,
10544-5,Normeperidine,Normeperidine,
10545-2,Normephenytoin,Normephenytoin,
10546-0,Normethsuximide,Normethsuximide,
10547-8,Primidone+Phenobarbital,Primidone + Phenobarbital,
10548-6,Phenytoin.free/Phenytoin.total,Phenytoin Free/Total Phenytoin Ratio,
10549-4,Pirmenol,Pirmenol,
10551-0,Triamterene,Triamterene,
10552-8,Tricyclic antidepressants,Tricyclic Antidepressants,
10553-6,Acid phosphatase.prostatic,Acid Phosphatase Prostatic; Genital Fluid,
10555-1,Acrosin,Acrosin,
10557-7,Adenosine triphosphate,Adenosine Triphosphate [ATP]; Semen,
10558-5,Albumin,Albumin; Semen,
10560-1,Carcinoembryonic Ag,Carcinoembryonic Antigen; Semen,
10561-9,Carnitine,Carnitine; Semen,
10562-7,Cells,Cells; Cervical Mucous,
10563-5,Cells other than spermatozoa,Cells Other Than Spermatozoa,700000.126.500
10564-3,Cervical mucus,Cervical Mucus,
10565-0,Choriogonadotropin,Choriogonadotropin; Semen,
10567-6,Citrate,Citrate; Semen,
10568-4,Clarity,Clarity,
10569-2,Color,Colour; Semen,700000.101.000
105-7,Ceforanide,"Ceforanide, KB",
10570-0,Consistency,Consistency,
10571-8,Consistency,Consistency,
10572-6,Duration^post ejaculation,Duration Post Ejaculation,
10573-4,Ferning,Ferning; Cervical Mucous,
10574-2,Fructose,Fructose; Semen,
10576-7,Germ cells.immature,Germ Cells.Immature,
10577-5,Glucosidase,Glucosidase; Semin Plasma,
10578-3,Glycerophosphocholine,Glycerophosphocholine ;Semen,
10579-1,Leukocytes,Leukocytes,700000.126.110
10580-9,Liquefaction,Liquefaction,700000.102.000
10581-7,Number of entities,Number Of Entities,
10582-5,pH,pH; Cervical Mucous,
10583-3,Prostaglandin F1 alpha,Prostaglandin F1 Alpha; Semen,
10585-8,Round cells,Round Cells,
10586-6,Semen,Semen,700000.130.100
10587-4,Sexual abstinence duration,Sexual Abstinence Duration,000000.250.000
10588-2,Spermatogonia,Spermatogonia,
10589-0,Spermatids.sab,Spermatids,
10590-8,Spermatids.scb,Spermatids,
10591-6,Spermatocytes.primary,Spermatocytes Primary,
10592-4,Spermatocytes.secondary,Spermatocytes Secondary,
10593-2,Spermatozoa.pyriform head/100 spermatozoa,"Spermatozoa, Pyriform Head/100 Spermatozoa",
10594-0,Spermatozoa.tapering head/100 spermatozoa,"Spermatozoa,Tapering Head/100 Spermatozoa",
10599-9,Spermatozoa penetration,Spermatozoa Penetration; Seminal Fluid & Cervical Mucous,
10600-5,Spermatozoa penetration,Spermatozoa Penetration; Seminal Fluid & Cervical Mucous,
10601-3,Spermatozoa penetration^post coitus,Spermatozoa Penetration Post Coitus; Seminal Fluid & Cervical Mucous,
10602-1,Spermatozoa.abnormal head/100 spermatozoa,"Spermatozoa, Abnormal Head/100 Spermatozoa",700000.115.000
1060-3,I Ab,Anti-I,
10603-9,Spermatozoa.abnormal midpiece/100 spermatozoa,Spermatozoa Abnormal Midpiece/100 Spermatozoa,
10604-7,Spermatozoa.abnormal tail/100 spermatozoa,"Spermatozoa, Abnormal Tail/100 Spermatozoa",700000.116.000
10605-4,Spermatozoa.agglutinated/100 spermatozoa,Spermatozoa.Agglutinated/100 Spermatozoa,
10606-2,Spermatozoa.amorphous head/100 spermatozoa,"Spermatozoa, Amorphous Head/100 Spermatozoa",
10607-0,Spermatozoa.coiled tail/100 spermatozoa,"Spermatozoa, Coiled Tail/100 Spermatozoa",
10608-8,Spermatozoa.cytoplasmic droplet/100 spermatozoa,"Spermatozoa, Cytoplasmic Droplet/100 Spermatozoa",
10609-6,Spermatozoa.duplicate head/100 spermatozoa,"Spermatozoa, Duplicate Head/100 Spermatozoa",
10610-4,Spermatozoa.duplicate tail/100 spermatozoa,"Spermatozoa, Duplicate Tail/100 Spermatozoa",
10611-2,Spermatozoa.immotile/100 spermatozoa,"Spermatozoa, Immotile/100 Spermatozoa",700000.112.000
10612-0,Spermatozoa.large oval head/100 spermatozoa,"Spermatozoa, Large Oval Head/100 Spermatozoa",
10613-8,Spermatozoa.viable/100 spermatozoa,"Spermatozoa,Viable/100 Spermatozoa",700000.110.000
10614-6,Spermatozoa.motile with IgA/100 spermatozoa,Spermatozoa.Motile With Iga/100 Spermatozoa,
10615-3,Spermatozoa.motile with IgA/100 spermatozoa,Spermatozoa.Motile With Iga/100 Spermatozoa,
10616-1,Spermatozoa.motile with IgG/100 spermatozoa,Spermatozoa.Motile With Igg/100 Spermatozoa,
10617-9,Spermatozoa.motile with IgG/100 spermatozoa,Spermatozoa.Motile With Igg/100 Spermatozoa,
10618-7,Spermatozoa.motile with IgM/100 spermatozoa,Spermatozoa.Motile With Igm/100 Spermatozoa,
